Modell;Ausstattungslinie;Motor;Kategorie;Kraftstoff;l/100km;kWh/100km;Preis
ID. Buzz;Pro Kurzer Radstand;KR | 79 kWh | 210 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;19.3;61076.75
ID. Buzz;Pro Langer Radstand;LR | 86 kWh | 210 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;19.7;62903.40
ID. Buzz;Pure;KR | 59 kWh | 125 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;20.4;54311.60
ID.3;Pro S;79 kWh | 170 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;15.9;44025.00
ID.4;Pro;Pro 4MOTION 77 kWh | 210 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;16.8;51320.00
ID.4;Pro;Pro 77 kWh | 210 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;16.9;48635.00
ID.5;Pro;Pro 77 kWh | 210 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;16.0;51270.00
ID.7;Pro S;86 kWh | 210 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;14.0;59095.00
ID.7 Tourer;Pro S;86 kWh | 210 kW | 1-Gang-Automatik;Elektro/Hybrid;Elektro;0.0;14.3;59895.00
Multivan;Energy;KÜ | 1.5 eHybrid | 4MOTION | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;2.8;15.9;78647.10
Multivan;Energy;KÜ | 2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;6.6;0.0;64158.85
Multivan;Energy;KÜ | 2.0 TSI | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;8.9;0.0;64373.05
Multivan;Energy;LÜ | 1.5 eHybrid | 4MOTION | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;2.9;15.9;80717.70
Multivan;Energy;LÜ | 2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;6.6;0.0;66223.50
Multivan;Energy;LÜ | 2.0 TSI | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;9.0;0.0;66437.70
Multivan;Life;KÜ | 1.5 eHybrid | 4MOTION | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;2.8;15.8;75029.50
Multivan;Life;KÜ | 2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;6.5;0.0;59678.50
Multivan;Life;KÜ | 2.0 TSI | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;8.9;0.0;60487.70
Multivan;Life;LÜ | 1.5 eHybrid | 4MOTION | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;2.8;15.9;77100.10
Multivan;Life;LÜ | 2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;6.5;0.0;61743.15
Multivan;Life;LÜ | 2.0 TSI | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;8.9;0.0;62552.35
Multivan;Multivan;KÜ | 1.5 eHybrid | 4MOTION | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;2.8;15.9;71953.35
Multivan;Multivan;KÜ | 2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;6.5;0.0;56108.50
Multivan;Multivan;KÜ | 2.0 TSI | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;8.9;0.0;57417.50
Multivan;Multivan;LÜ | 1.5 eHybrid | 4MOTION | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;2.8;15.9;74023.95
Multivan;Multivan;LÜ | 2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;6.5;0.0;58173.15
Multivan;Multivan;LÜ | 2.0 TSI | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;8.9;0.0;59482.15
Multivan;Style;KÜ | 1.5 eHybrid | 4MOTION | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;2.8;15.9;83401.15
Multivan;Style;KÜ | 2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;6.5;0.0;68889.10
Multivan;Style;KÜ | 2.0 TSI | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;8.8;0.0;69085.45
Multivan;Style;LÜ | 1.5 eHybrid | 4MOTION | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;2.8;15.8;85471.75
Multivan;Style;LÜ | 2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;6.5;0.0;70953.75
Multivan;Style;LÜ | 2.0 TSI | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;8.9;0.0;71150.10
Passat;Business;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.3;13.1;58290.00
Passat;Business;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.3;13.2;61915.00
Passat;Business;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.4;0.0;47695.00
